"","date","bar","tmp","hr","ws","wd","rain","rs","uv"
"1","2024-03-01",751.6,12.8,40.5,2.7,49.6,0,0,0
"2","2024-03-01 01:00:00",750.8,11.9,48.8,1.9,90,0,0,0
"3","2024-03-01 02:00:00",750.2,10.7,60,2.6,48.9,0,0,0
"4","2024-03-01 03:00:00",750,10.3,64.8,3.8,45,0,0,0
"5","2024-03-01 04:00:00",749.6,10.4,62.2,2,45,0,0,0
"6","2024-03-01 05:00:00",750.3,9.5,62,2.5,57.3,0,0,0
"7","2024-03-01 06:00:00",752,8.9,65,3.2,67.5,0,0,0
"8","2024-03-01 07:00:00",753.2,9.8,65,3.2,67.5,0,0,0
"9","2024-03-01 08:00:00",752.5,14.2,53.8,2.2,107.4,0,0,0
"10","2024-03-01 09:00:00",752.6,16.1,48,2.3,172.7,0,0,0
"11","2024-03-01 10:00:00",752.7,16.9,45,3.2,180.8,0,0,0
"12","2024-03-01 11:00:00",752,18.5,40.2,3.7,192.3,0,0,0
"13","2024-03-01 12:00:00",751.4,19.3,35.5,5.1,192.8,0,0,0
"14","2024-03-01 13:00:00",750.6,20.4,28.2,5.4,185.1,0,0,0
"15","2024-03-01 14:00:00",749.7,21.2,27.8,4.9,187.1,0,0,0
"16","2024-03-01 15:00:00",749.4,21.3,25.8,6.7,185.6,0,0,0
"17","2024-03-01 16:00:00",749.5,21.1,24.5,6.6,208.5,0,0,0
"18","2024-03-01 17:00:00",751,19.8,24,5.8,196.9,0,0,0
"19","2024-03-01 18:00:00",752.2,18.5,27.5,3.5,187.9,0,0,0
"20","2024-03-01 19:00:00",752,16.9,32.8,1.5,115.5,0,0,0
"21","2024-03-01 20:00:00",752.2,15.4,39.8,2.6,95.8,0,0,0
"22","2024-03-01 21:00:00",752.6,14.1,43,3.2,78.4,0,0,0
"23","2024-03-01 22:00:00",752.4,13.6,43.2,3.1,67.5,0,0,0
"24","2024-03-01 23:00:00",752.1,13.1,44.8,2.2,67.5,0,0,0
"25","2024-03-02",751.7,12.9,45.5,1.9,75.4,0,0,0
