estacion,fecha_puebla,ws_wrf,wd_wrf
R00,2024-03-01 00:00:00,5.033333333333333,184.24
R01,2024-03-01 00:00:00,5.547222222222222,173.32
R03,2024-03-01 00:00:00,4.602777777777778,186.01
R05,2024-03-01 00:00:00,5.027777777777778,184.4
R06,2024-03-01 00:00:00,4.877777777777777,197.85
R07,2024-03-01 00:00:00,4.8805555555555555,186.6
R08,2024-03-01 00:00:00,4.708333333333333,186.7
R09,2024-03-01 00:00:00,4.258333333333333,190.65
R10,2024-03-01 00:00:00,4.388888888888889,199.71
R12,2024-03-01 00:00:00,5.033333333333333,184.24
R13,2024-03-01 00:00:00,4.8583333333333325,189.26
R15,2024-03-01 00:00:00,4.013888888888888,189.81
R16,2024-03-01 00:00:00,5.422222222222222,177.16
R17,2024-03-01 00:00:00,5.044444444444444,184.05
R20,2024-03-01 00:00:00,4.708333333333333,186.7
R22,2024-03-01 00:00:00,4.9944444444444445,187.08
R23,2024-03-01 00:00:00,5.236111111111112,180.17
R24,2024-03-01 00:00:00,4.894444444444445,184.99
RCU,2024-03-01 00:00:00,4.388888888888889,199.71
R00,2024-03-01 01:00:00,2.7694444444444444,181.05
R01,2024-03-01 01:00:00,3.6777777777777776,178.29
R03,2024-03-01 01:00:00,2.761111111111111,165.81
R05,2024-03-01 01:00:00,3.686111111111111,186.95
R06,2024-03-01 01:00:00,2.972222222222222,190.01
R07,2024-03-01 01:00:00,2.9416666666666664,184.75
